Country;#1. Open Public Procurement;#2. Ending abuse of anonymous companies;#3. Innovation and data driven approaches to expose and fight corruption;#4. Transparency on lobbying;#5. Transparency of political party finance;#6. Access to information;#7. Transparency and participation in budgets and fiscal policies;#8. Transparency and open contracts in the natural resource sector;#9. Engaging citizens in an open and inclusive law-making process;#10. Inclusive development of national and subnational climate and sustainable development strategies and plans;#11. Tracking climate relevant policy implementation and results;#12. Greater transparency of information on climate and sustainable development in national budgets;#13. Disclosure of climate-related investment risks and corresponding mitigation measure;#14. Policies and mechanisms to promote and strenghten engagement with civil society;#15. Increase the responsiveness and accountability of public services to citizens;#16. Opening and sharing civic technology tools for opening government;#17. Collaborative data infrastructures;#18. Guidelines principles for open data policies;#19. Creating an Open Source Software policy;#20. Transparency on international trade negotiations
Antigua and Barb.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anguilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aruba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
St-Barthélemy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bahamas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bermuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belize;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barbados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Costa Rica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Curaçao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cayman Is.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grenada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominican Rep.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0
Guatemala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Honduras;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Haiti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greenland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jamaica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
